"","date","quadrat","reg_shoot","flower_shoot","live_bag_wt","detritus_tin_wt","epi_bag_wt","live_wet_wt","detritus_wet_wt","live_dry_wt","detritus_dry_wt","epi_algae_wet_wt","epi_algae_dry_wt","shoot_length_1","shoot_width_1","num_blades_shoot_1","shoot_length_2","shoot_width_2","num_blades_shoot_2","drift_algae_wt","drift_algae_bag_wt","drift_algae_dry_wt","drift_algae_spp","mean_sheath_length","X","epi_blade_num","epi_blade_length","epi_blade_width","GFC_weight","GFC_weight_with_sample","epi_dry_weight","epi_blade_wet_weight","epi_blade_dry_weight","macroalgae_spp","macroalgae_wet_weight","macroalgae_foil_weight","macroalgae_dry_weight","sheath_length","notes","epi_dry_wt","zm_dry_wt"
"1","8-Jan-15",1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"no tin weight",NA,NA
"2","8-Jan-15",2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"no tin weight",NA,NA
"3","8-Jan-15",3,18,NA,5,NA,NA,90.0216,NA,12.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"no tin weight",NA,NA
"4","8-Jan-15",4,21,NA,5,NA,NA,70.3624,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"no tin weight",NA,NA
"5","8-Jan-15",5,18,NA,5,NA,NA,101.1217,NA,13.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"no tin weight",NA,NA
"6","8-Jan-15",6,12,NA,5,NA,NA,72.5,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"no tin weight",NA,NA
"7","28-Apr-15",1,18,NA,5,NA,NA,114.9,NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"8","28-Apr-15",2,15,NA,5,NA,NA,97.28,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,NA,1.8,"ulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"9","28-Apr-15",3,4,NA,5,NA,NA,39.1,NA,7.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"ulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"10","28-Apr-15",4,19,NA,5,NA,NA,171.2,NA,24.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,0.51,"ulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"11","28-Apr-15",5,12,NA,5,NA,NA,82.2,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,0.99,"ulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"12","28-Apr-15",6,24,NA,5,NA,NA,159,NA,20.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"ulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"13","21-May-15",1,12,NA,NA,NA,NA,154.6488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"14","21-May-15",2,55,NA,NA,NA,NA,364.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,"ulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"15","21-May-15",3,46,NA,NA,NA,NA,444.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,"ulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"16","21-May-15",4,26,NA,NA,NA,NA,297.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,NA,NA,"ulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"17","21-May-15",5,43,NA,NA,NA,NA,400.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"ulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"18","21-May-15",6,49,NA,NA,NA,NA,383.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,"ulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"19","28-Aug-15",1,8,NA,9.468,NA,NA,81.333,NA,17.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,6,151.5,0.75,0,0.0932,0.0956,26.42,11.291,"",NA,NA,NA,NA,"",0.0932,0.932
"20","28-Aug-15",2,15,NA,9.431,NA,NA,134.16,NA,24.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,5,120.4,0.7,0,0.0933,0.1049,18.465,10.239,"",NA,NA,NA,NA,"",0.0933,0.933
"21","28-Aug-15",3,9,NA,9.3,NA,NA,75.65,NA,18.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,6,117.2,0.6,0,0.0936,0.0958,17.795,10.287,"",NA,NA,NA,NA,"",0.0936,0.936
"22","28-Aug-15",4,11,NA,9.349,NA,NA,101.95,NA,20.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,86.2,0.6,0,0.0915,0.0951,14.39,9.903,"",NA,NA,NA,NA,"",0.0915,0.915
"23","28-Aug-15",5,19,NA,9.44,NA,NA,105.926,NA,22.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,5,120.2,0.7,0,0.0925,0.0975,19.201,10.452,"",NA,NA,NA,NA,"",0.0925,0.925
"24","28-Aug-15",6,12,NA,9.459,NA,NA,88.801,NA,18.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,6,99.2,0.6,0,0.0918,0.0967,15.638,10.066,"",NA,NA,NA,NA,"",0.0918,0.918
"25","10-Oct-15",1,6,NA,9.25,NA,NA,84.78,NA,19.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"26","10-Oct-15",2,4,NA,9.58,NA,NA,49.08,NA,13.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"27","10-Oct-15",3,9,NA,9.6,NA,NA,84.3,NA,19.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"28","10-Oct-15",4,5,NA,9.506,NA,NA,71.675,NA,17.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"29","10-Oct-15",5,7,NA,9.422,NA,NA,50.114,NA,14.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"30","10-Oct-15",6,5,NA,9.47,NA,NA,62.01,NA,16.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA
"31","11-Nov-15",1,6,NA,4.5,NA,NA,46.9,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,108.4,0.7,1.088,1.0969,2.3,9.9,NA,"0.0932",0.0956,NA,NA,NA,"",0.00889999999999991,0.0889999999999991
