month,relative.value,variable,,site,ref
1,,seagrass shoot biomass,,Goodwin Islands,Douglass et al
2,2,seagrass shoot biomass,,Goodwin Islands,Douglass et al
3,2,seagrass shoot biomass,,Goodwin Islands,Douglass et al
4,,seagrass shoot biomass,,Goodwin Islands,Douglass et al
5,10,seagrass shoot biomass,,Goodwin Islands,Douglass et al
6,10,seagrass shoot biomass,,Goodwin Islands,Douglass et al
7,10,seagrass shoot biomass,,Goodwin Islands,Douglass et al
8,,seagrass shoot biomass,,Goodwin Islands,Douglass et al
9,,seagrass shoot biomass,,Goodwin Islands,Douglass et al
10,2,seagrass shoot biomass,,Goodwin Islands,Douglass et al
11,2,seagrass shoot biomass,,Goodwin Islands,Douglass et al
12,,seagrass shoot biomass,,Goodwin Islands,Douglass et al
1,2,seagrass shoot biomass,,San Juan Islands,Nelson et al
2,2,seagrass shoot biomass,,San Juan Islands,Nelson et al
3,3,seagrass shoot biomass,,San Juan Islands,Nelson et al
4,,seagrass shoot biomass,,San Juan Islands,Nelson et al
5,,seagrass shoot biomass,,San Juan Islands,Nelson et al
6,10,seagrass shoot biomass,,San Juan Islands,Nelson et al
7,10,seagrass shoot biomass,,San Juan Islands,Nelson et al
8,10,seagrass shoot biomass,,San Juan Islands,Nelson et al
9,10,seagrass shoot biomass,,San Juan Islands,Nelson et al
10,,seagrass shoot biomass,,San Juan Islands,Nelson et al
11,,seagrass shoot biomass,,San Juan Islands,Nelson et al
12,3,seagrass shoot biomass,,San Juan Islands,Nelson et al
1,2,productivity,,San Juan Islands,Nelson et al
2,2,productivity,,San Juan Islands,Nelson et al
3,,productivity,,San Juan Islands,Nelson et al
4,4,productivity,,San Juan Islands,Nelson et al
5,4,productivity,,San Juan Islands,Nelson et al
6,,productivity,,San Juan Islands,Nelson et al
7,,productivity,,San Juan Islands,Nelson et al
8,10,productivity,,San Juan Islands,Nelson et al
9,8,productivity,,San Juan Islands,Nelson et al
10,10,productivity,,San Juan Islands,Nelson et al
11,8,productivity,,San Juan Islands,Nelson et al
12,2,productivity,,San Juan Islands,Nelson et al
1,2,epiphyte biomass,,San Juan Islands,Nelson et al
2,,epiphyte biomass,,San Juan Islands,Nelson et al
3,4,epiphyte biomass,,San Juan Islands,Nelson et al
4,,epiphyte biomass,,San Juan Islands,Nelson et al
5,5,epiphyte biomass,,San Juan Islands,Nelson et al
6,5,epiphyte biomass,,San Juan Islands,Nelson et al
7,,epiphyte biomass,,San Juan Islands,Nelson et al
8,8,epiphyte biomass,,San Juan Islands,Nelson et al
9,10,epiphyte biomass,,San Juan Islands,Nelson et al
10,8,epiphyte biomass,,San Juan Islands,Nelson et al
11,,epiphyte biomass,,San Juan Islands,Nelson et al
12,2,epiphyte biomass,,San Juan Islands,Nelson et al
1,5,snail biomass,,San Juan Islands,Nelson et al
2,5,snail biomass,,San Juan Islands,Nelson et al
3,5,snail biomass,,San Juan Islands,Nelson et al
4,5,snail biomass,,San Juan Islands,Nelson et al
5,5,snail biomass,,San Juan Islands,Nelson et al
6,5,snail biomass,,San Juan Islands,Nelson et al
7,5,snail biomass,,San Juan Islands,Nelson et al
8,5,snail biomass,,San Juan Islands,Nelson et al
9,5,snail biomass,,San Juan Islands,Nelson et al
10,5,snail biomass,,San Juan Islands,Nelson et al
11,5,snail biomass,,San Juan Islands,Nelson et al
12,5,snail biomass,,San Juan Islands,Nelson et al
1,,epiphyte biomass,,Goodwin Islands,Douglass et al
2,,epiphyte biomass,,Goodwin Islands,Douglass et al
3,1,epiphyte biomass,,Goodwin Islands,Douglass et al
4,1,epiphyte biomass,,Goodwin Islands,Douglass et al
5,1,epiphyte biomass,,Goodwin Islands,Douglass et al
6,4,epiphyte biomass,,Goodwin Islands,Douglass et al
7,4,epiphyte biomass,,Goodwin Islands,Douglass et al
8,4,epiphyte biomass,,Goodwin Islands,Douglass et al
9,10,epiphyte biomass,,Goodwin Islands,Douglass et al
10,10,epiphyte biomass,,Goodwin Islands,Douglass et al
11,4,epiphyte biomass,,Goodwin Islands,Douglass et al
12,1,epiphyte biomass,,Goodwin Islands,Douglass et al
1,2,shoot density,,Padilla Bay,Thom 1994
2,,shoot density,,Padilla Bay,Thom 1994
3,,shoot density,,Padilla Bay,Thom 1994
4,10,shoot density,,Padilla Bay,Thom 1994
5,8,shoot density,,Padilla Bay,Thom 1994
6,,shoot density,,Padilla Bay,Thom 1994
7,10,shoot density,,Padilla Bay,Thom 1994
8,,shoot density,,Padilla Bay,Thom 1994
9,,shoot density,,Padilla Bay,Thom 1994
10,8,shoot density,,Padilla Bay,Thom 1994
11,10,shoot density,,Padilla Bay,Thom 1994
12,7,shoot density,,Padilla Bay,Thom 1994
1,9,snail density,lacuna,Padilla Bay,Thom 1994
2,,snail density,lacuna,Padilla Bay,Thom 1994
3,,snail density,lacuna,Padilla Bay,Thom 1994
4,4,snail density,lacuna,Padilla Bay,Thom 1994
5,3,snail density,lacuna,Padilla Bay,Thom 1994
6,,snail density,lacuna,Padilla Bay,Thom 1994
7,6,snail density,lacuna,Padilla Bay,Thom 1994
8,,snail density,lacuna,Padilla Bay,Thom 1994
9,,snail density,lacuna,Padilla Bay,Thom 1994
10,8,snail density,lacuna,Padilla Bay,Thom 1994
11,9,snail density,lacuna,Padilla Bay,Thom 1994
12,10,snail density,lacuna,Padilla Bay,Thom 1994
1,2,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
2,,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
3,,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
4,10,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
5,10,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
6,,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
7,,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
8,,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
9,,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
10,,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
11,,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
12,2,seagrass shoot biomass,,"Odawa Bay, Japan",Aioi 1980
