rownum,month,relative.value,variable,site,ref,year.start,year.end,trophic.grp,notes,data.entered.by,X11,X12
1,1,NA,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
2,2,NA,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
3,3,0.105812221,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
4,4,NA,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
5,5,0.177347243,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
6,6,NA,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
7,7,0.327123696,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
8,8,NA,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
9,9,1,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
10,10,NA,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
11,11,NA,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
12,12,0.60804769,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,81.6,count
13,1,NA,Amphipods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
14,2,NA,Amphipods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
15,3,0.070044709,Amphipods,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,9.4,count
16,4,NA,Amphipods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
17,5,0.107302534,Amphipods,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.4,count
18,6,NA,Amphipods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
19,7,0.173621461,Amphipods,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,23.3,count
20,8,NA,Amphipods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
21,9,0.895678092,Amphipods,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,120.2,count
22,10,NA,Amphipods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
23,11,NA,Amphipods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
24,12,0.128166915,Amphipods,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,17.2,count
25,1,NA,Amphipods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
26,2,NA,Amphipods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
27,3,0.050670641,Amphipods,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,6.8,count
28,4,NA,Amphipods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
29,5,0.076005961,Amphipods,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,10.2,count
30,6,NA,Amphipods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
31,7,0.333084948,Amphipods,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,44.7,count
32,8,NA,Amphipods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
33,9,0.0804769,Amphipods,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,10.8,count
34,10,NA,Amphipods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
35,11,NA,Amphipods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
36,12,0.105812221,Amphipods,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
37,1,NA,Amphipods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
38,2,NA,Amphipods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
39,3,0.090909091,Amphipods,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,12.2,count
40,4,NA,Amphipods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
41,5,0.153502235,Amphipods,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,20.6,count
42,6,NA,Amphipods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
43,7,0.420268256,Amphipods,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,56.4,count
44,8,NA,Amphipods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
45,9,0.564828614,Amphipods,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,75.8,count
46,10,NA,Amphipods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
47,11,NA,Amphipods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
48,12,0.233979136,Amphipods,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,31.4,count
