month,relative.value,variable,site,ref,year.start,year.end,trophic.grp,notes,data.entered.by
1,,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
2,2,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
3,2,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
4,,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
5,10,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
6,10,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
7,10,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
8,,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
9,,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
10,2,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
11,2,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
12,,seagrass shoot biomass,Goodwin Islands,Douglass et al,2004,2006,seagrass,,MO
1,2,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
2,2,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
3,3,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
4,,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
5,,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
6,10,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
7,10,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
8,10,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
9,10,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
10,,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
11,,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
12,3,seagrass shoot biomass,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
1,2,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
2,2,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
3,,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
4,4,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
5,4,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
6,,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
7,,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
8,10,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
9,8,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
10,10,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
11,8,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
12,2,productivity,San Juan Islands,Nelson et al,1990,1991,seagrass,,MO
1,2,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
2,,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
3,4,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
4,,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
5,5,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
6,5,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
7,,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
8,8,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
9,10,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
10,8,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
11,,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
12,2,epiphyte biomass,San Juan Islands,Nelson et al,1990,1991,epiphytes,,MO
1,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO
2,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO
3,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO
