Date,quadrat #,regular shoot #,flowering shoot #,live paper bag weight (g),detritus tin weight (g),epiphyte bag weight (g),live wet weight (g),detritus wet weight (g),live dry weight (g),detritus dry weight (g),epi algae wet weight (g),epi algae dry weight (g),shoot 1 length,shoot 1 width (cm),shoot 1 # blades,shoot 2 length,shoot 2 width (cm),shoot 2 # blades,drift algae weight (g),drift algae paper bag (g),drift algae dry weight (g),drift algae species,mean sheath length,,epi blade #,epi blade length (cm),epi blade width (cm),GF/C + tin weight (g),GF/C + tin with dry sample (g),epi foil weight (g),epi wet weight (g),epiphyte dry weight (g),macroalgae species,macroalgae wet weight (g),macroalgae foil (g),macroalgae dry (g),sheath length (cm),notes
8-Jan-15,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no tin weight
8-Jan-15,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no tin weight
8-Jan-15,3,18,,5,,,90.0216,,12.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no tin weight
8-Jan-15,4,21,,5,,,70.3624,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no tin weight
8-Jan-15,5,18,,5,,,101.1217,,13.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no tin weight
8-Jan-15,6,12,,5,,,72.5,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no tin weight
28-Apr-15,1,18,,5,,,114.9,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Apr-15,2,15,,5,,,97.28,,16.2,,,,,,,,,,9.6,,1.8,ulva,,,,,,,,,,,,,,,,
28-Apr-15,3,4,,5,,,39.1,,7.43,,,,,,,,,,0,,0,ulva,,,,,,,,,,,,,,,,
28-Apr-15,4,19,,5,,,171.2,,24.75,,,,,,,,,,2.7,,0.51,ulva,,,,,,,,,,,,,,,,
28-Apr-15,5,12,,5,,,82.2,,12.3,,,,,,,,,,5.7,,0.99,ulva,,,,,,,,,,,,,,,,
28-Apr-15,6,24,,5,,,159,,20.63,,,,,,,,,,0,,0,ulva,,,,,,,,,,,,,,,,
21-May-15,1,12,,NA,,,154.6488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-May-15,2,55,,NA,,,364.766,,,,,,,,,,,,5.8,,,ulva,,,,,,,,,,,,,,,,
21-May-15,3,46,,NA,,,444.29,,,,,,,,,,,,114,,,ulva,,,,,,,,,,,,,,,,
21-May-15,4,26,,NA,,,297.86,,,,,,,,,,,,2.16,,,ulva,,,,,,,,,,,,,,,,
21-May-15,5,43,,NA,,,400.37,,,,,,,,,,,,0,,,ulva,,,,,,,,,,,,,,,,
21-May-15,6,49,,NA,,,383.176,,,,,,,,,,,,49,,,ulva,,,,,,,,,,,,,,,,
28-Aug-15,1,8,,9.468,,,81.333,,17.567,,,,,,,,,,,,,,,,6,151.5,0.75,0,0.0932,0.0956,26.42,11.291,,,,,,
28-Aug-15,2,15,,9.431,,,134.16,,24.347,,,,,,,,,,,,,,,,5,120.4,0.7,0,0.0933,0.1049,18.465,10.239,,,,,,
28-Aug-15,3,9,,9.3,,,75.65,,18.483,,,,,,,,,,,,,,,,6,117.2,0.6,0,0.0936,0.0958,17.795,10.287,,,,,,
28-Aug-15,4,11,,9.349,,,101.95,,20.298,,,,,,,,,,,,,,,,4,86.2,0.6,0,0.0915,0.0951,14.39,9.903,,,,,,
28-Aug-15,5,19,,9.44,,,105.926,,22.705,,,,,,,,,,,,,,,,5,120.2,0.7,0,0.0925,0.0975,19.201,10.452,,,,,,
